year,month,lat,lng,probability,spread
0,0,15,85,1,0
0,2,8,83,0.00028,53
0,2,9,83,0.00042,40
0,2,9,84,0.00337,37
0,2,10,83,0.00098,29
0,2,10,84,0.00197,26
0,2,10,86,0.00112,26
0,2,10,87,0.00084,29
0,2,11,82,0.0007,25
0,2,11,83,0.00183,20
0,2,11,84,0.00281,17
0,2,11,86,0.00112,17
0,2,11,87,0.00042,20
0,2,11,88,0.00056,25
0,2,12,81,0.00056,25
0,2,12,82,0.00112,18
0,2,12,84,0.00098,10
0,2,12,85,0.00042,9
0,2,12,87,0.00351,13
0,2,12,88,0.00239,18
0,2,13,81,0.00098,20
0,2,13,82,0.00435,13
0,2,13,83,0.0014,8
0,2,13,84,0.00225,5
0,2,13,85,0.00126,4
0,2,13,86,0.00407,5
0,2,13,87,0.01081,8
0,2,13,88,0.0111,13
0,2,14,81,0.00028,17
0,2,14,83,0.00126,5
0,2,14,84,0.0014,2
0,2,14,85,0.00281,1
0,2,14,86,0.00435,2
0,2,14,87,0.00154,5
0,2,14,88,0.00154,10
0,2,14,89,0.00225,17
0,2,15,81,0.00028,16
0,2,15,82,0.00393,9
0,2,15,83,0.0052,4
0,2,15,84,0.00225,1
0,2,15,85,0.01404,0
0,2,15,86,0.01615,1
0,2,15,87,0.01011,4
0,2,15,88,0.00646,9
0,2,15,89,0.00379,16
0,2,15,90,0.0007,25
0,2,15,91,0.00154,36
0,2,16,82,0.00267,10
0,2,16,83,0.00801,5
0,2,16,84,0.00969,2
0,2,16,85,0.01784,1
0,2,16,86,0.01938,2
0,2,16,87,0.01138,5
0,2,16,88,0.00365,10
0,2,16,89,0.00716,17
0,2,16,90,0.0111,26
0,2,16,91,0.00323,37
0,2,16,92,0.00056,50
0,2,17,83,0.00056,8
0,2,17,84,0.00702,5
0,2,17,85,0.00576,4
0,2,17,86,0.00941,5
0,2,17,87,0.11192,8
0,2,17,88,0.2597,13
0,2,17,89,0.00407,20
0,2,17,90,0.00211,29
0,2,17,91,0.00478,40
0,2,18,85,0.00084,9
0,2,18,86,0.14862,10
0,2,18,87,0.11501,13
0,2,18,88,0.025,18
0,2,18,89,0.00843,25
0,2,18,90,0.00112,34
0,2,18,91,0.00534,45
0,2,19,86,0.00955,17
0,2,19,87,0.00716,20
0,2,19,88,0.01236,25
0,2,19,89,0.00309,32
0,2,19,90,0.00253,41
0,2,19,91,0.00421,52
0,2,20,86,0.0007,26
0,2,20,88,0.00267,34
0,2,20,89,0.0014,41
0,2,20,90,0.00562,50
0,2,21,89,0.00084,52
0,2,21,90,0.00295,61
0,2,21,91,0.00056,72
0,4,6,83,0.00037,85
0,4,6,86,0.00032,82
0,4,6,87,0.00027,85
0,4,6,88,0.00079,90
0,4,6,89,0.00092,97
0,4,6,90,0.0014,106
0,4,6,91,0.00027,117
0,4,7,82,0.00122,73
0,4,7,85,0.00041,64
0,4,7,86,0.00063,65
0,4,7,87,0.00155,68
0,4,7,88,0.00056,73
0,4,7,93,0.00047,128
0,4,8,81,0.00034,65
0,4,8,82,0.0016,58
0,4,8,83,0.00047,53
0,4,8,84,0.00067,50
0,4,8,85,0.00029,49
0,4,8,86,0.00406,50
0,4,8,87,0.0015,53
0,4,8,88,0.00077,58
0,4,8,89,0.00058,65
0,4,8,90,0.00049,74
0,4,9,81,0.00047,52
0,4,9,82,0.00097,45
0,4,9,83,0.00026,40
0,4,9,84,0.00082,37
0,4,9,85,0.00227,36
0,4,9,86,0.00075,37
0,4,9,87,0.00061,40
0,4,9,88,0.00052,45
0,4,9,89,0.00058,52
0,4,9,90,0.00068,61
0,4,9,97,0.00066,180
0,4,10,80,0.00101,50
0,4,10,81,0.00168,41
0,4,10,82,0.00107,34
0,4,10,83,0.00084,29
0,4,10,84,0.00198,26
0,4,10,85,0.01003,25
0,4,10,86,0.0016,26
0,4,10,87,0.00268,29
0,4,10,88,0.00142,34
0,4,10,89,0.0008,41
0,4,10,90,0.00095,50
0,4,10,96,0.00026,146
0,4,11,80,0.00068,41
0,4,11,81,0.00307,32
0,4,11,82,0.00321,25
0,4,11,83,0.00168,20
0,4,11,84,0.00125,17
0,4,11,85,0.00319,16
0,4,11,86,0.0154,17
0,4,11,87,0.00196,20
0,4,11,88,0.00315,25
0,4,11,89,0.0042,32
0,4,11,90,0.00144,41
0,4,12,80,0.00064,34
0,4,12,81,0.00064,25
0,4,12,82,0.00176,18
0,4,12,83,0.0015,13
0,4,12,84,0.00791,10
0,4,12,85,0.00122,9
0,4,12,86,0.00271,10
0,4,12,87,0.00379,13
0,4,12,88,0.00652,18
0,4,12,89,0.00107,25
0,4,12,90,0.0019,34
0,4,12,95,0.00078,109
0,4,13,80,0.00134,29
0,4,13,81,0.00042,20
0,4,13,82,0.001,13
0,4,13,83,0.00107,8
0,4,13,84,0.00155,5
0,4,13,85,0.0022,4
0,4,13,86,0.00136,5
0,4,13,87,0.00055,8
0,4,13,88,0.00134,13
0,4,13,89,0.00413,20
0,4,13,90,0.0034,29
0,4,13,91,0.00133,40
0,4,13,92,0.00228,53
0,4,13,93,0.00225,68
0,4,13,94,0.0073,85
0,4,13,95,0.00047,104
0,4,14,81,0.00062,17
0,4,14,82,0.00156,10
0,4,14,83,0.00354,5
0,4,14,84,0.00087,2
0,4,14,85,0.00242,1
0,4,14,86,0.00153,2
